Fecha,Numero,Loteria
1988-06-23,622,Cash noche
1988-06-24,710,Medellín
1988-07-08,265,Cash noche
1988-07-10,433,Cash noche
1988-07-14,474,Cash noche
1988-07-26,501,Cruz roja
1988-07-29,327,Cash noche
1988-07-30,170,Cash noche
1988-08-04,449,Cash noche
1988-08-09,701,Cash noche
1988-08-12,363,Cash noche
1988-08-14,433,Cash noche
1988-08-23,456,Cash noche
1988-08-23,358,Cruz roja
1988-08-26,954,Cash noche
1988-08-26,962,Medellín
1988-08-27,44,Cash noche
1988-08-31,562,Cash noche
1988-09-01,437,Cash noche
1988-09-07,516,Cash noche
1988-09-16,714,Medellín
1988-09-25,549,Cash noche
1988-09-30,522,Cash noche
1988-10-06,456,Cash noche
1988-10-07,287,Cash noche
1988-10-08,666,Cash noche
1988-10-28,714,Cash noche
1988-10-29,723,Cash noche
1988-10-31,962,Cash noche
1988-11-01,808,Cruz roja
1988-11-03,650,Cash noche
1988-11-04,853,Medellín
1988-11-13,287,Cash noche
1988-11-15,744,Cruz roja
1988-11-27,559,Cash noche
1988-11-29,722,Cruz roja
1988-12-04,655,Cash noche
1988-12-12,879,Cash noche
1988-12-13,732,Cash noche
1988-12-17,741,Cash noche
1988-12-20,982,Cruz roja
1988-12-22,710,Cash noche
1988-12-24,884,Cash noche
1988-12-26,929,Cash noche
1989-01-01,982,Cash noche
1989-01-03,929,Cash noche
1989-01-06,415,Cash noche
1989-01-16,945,Cash noche
1989-01-19,723,Cash noche
1989-01-22,830,Cash noche
1989-01-25,273,Cash noche
1989-01-30,945,Cash noche
1989-02-08,277,Cash noche
1989-02-09,273,Cash noche
1989-02-10,203,Medellín
1989-02-14,83,Cash noche
1989-02-19,688,Cash noche
1989-02-26,417,Cash noche
1989-03-03,666,Cash noche
1989-03-17,590,Cash noche
1989-03-22,510,Cash noche
1989-03-28,999,Cash noche
1989-03-29,744,Cash noche
1989-04-03,818,Cash noche
1989-04-10,539,Cash noche
1989-04-11,123,Cruz roja
1989-04-17,807,Cash noche
1989-04-21,517,Cash noche
1989-04-22,77,Cash noche
1989-04-23,546,Cash noche
1989-05-12,100,Cash noche
1989-05-12,574,Medellín
1989-05-13,335,Cash noche
1989-05-14,982,Cash noche
1989-05-16,889,Cruz roja
1989-05-19,433,Medellín
1989-05-21,160,Cash noche
1989-05-23,926,Cash noche
1989-05-26,876,Cash noche
1989-05-26,331,Medellín
1989-05-27,533,Cash noche
