Fecha, Resultados
2024-04-17,8171
2024-04-18,8136
2024-04-19,6089
2024-04-20,7041
2024-04-21,5540
2024-04-22,5350
2024-04-23,8776
2024-04-24,8339
2024-04-25,1245
2024-04-26,9811
2024-04-27,4907
2024-04-28,2851
2024-04-29,1076
2024-04-30,9593
2024-05-01,2269
2024-05-02,4372
2024-05-03,4365
2024-05-04,2640
2024-05-05,5903
2024-05-06,2161
2024-05-07,1068
2024-05-08,6369
2024-05-09,7619
2024-05-10,4134
2024-05-11,6279
2024-05-12,7036
2024-05-13,2369
2024-05-14,2396
2024-05-15,786
2024-05-16,5365
2024-05-17,9396
2024-05-18,1222
2024-05-19,504
2024-05-20,6521
2024-05-21,9463
2024-05-22,348
2024-05-23,2776
2024-05-24,6358
2024-05-25,584
2024-05-26,1367
2024-05-27,5881
2024-05-28,7054
2024-05-29,9760
2024-05-30,410
2024-05-31,3771
2024-06-01,8642
2024-06-02,5378
2024-06-03,9180
2024-06-04,3662
2024-06-05,3888
2024-06-06,7098
2024-06-07,8196
2024-06-08,9450
2024-06-09,6080
2024-06-10,7835
2024-06-11,7140
2024-06-12,60
2024-06-13,6426
2024-06-14,3304
2024-06-15,9950
2024-06-16,620
2024-06-17,7040
2024-06-18,577
2024-06-19,6745
2024-06-20,4683
2024-06-21,4588
2024-06-22,4531
2024-06-23,2514
2024-06-24,818
2024-06-25,1070
2024-06-26,1025
2024-06-27,8538
2024-06-28,7952
2024-06-29,8413
2024-06-30,18
2024-07-01,2104
2024-07-02,2524
2024-07-03,651
2024-07-04,6963
2024-07-05,5161
2024-07-06,8429
2024-07-07,2570
2024-07-08,6552
2024-07-09,8125
2024-07-10,7293
2024-07-11,8975
2024-07-12,3119
2024-07-13,2899
2024-07-14,3695
2024-07-15,2537
2024-07-16,3740
2024-07-17,6126
2024-07-18,948
2024-07-19,3834
2024-07-20,2764
2024-07-21,6392
2024-07-22,4577
2024-07-23,3890
2024-07-24,6573
2024-07-25,2226
2024-07-26,6759
2024-07-27,4859
2024-07-28,53
2024-07-29,3443
2024-07-30,9577
2024-07-31,7206
2024-08-01,9390
2024-08-02,7058
2024-08-03,966
2024-08-04,5678
2024-08-05,9830
2024-08-06,3089
2024-08-07,2782
2024-08-08,1048
2024-08-09,552
2024-08-10,9947
2024-08-11,6776
2024-08-12,505
2024-08-13,4563
2024-08-14,1960
2024-08-15,1547
2024-08-16,8078
2024-08-17,2795
2024-08-18,5785
2024-08-19,2064
2024-08-20,8690
2024-08-21,6833
2024-08-22,2353
2024-08-23,9831
2024-08-24,1267
2024-08-25,92
2024-08-26,5899
2024-08-27,5481
2024-08-28,1601
2024-08-29,6374
2024-08-30,4373
2024-08-31,3313
2024-09-01,2956
2024-09-02,7536
2024-09-03,7294
2024-09-04,2001
2024-09-05,3523
2024-09-06,331
2024-09-07,7718
2024-09-08,9898
2024-09-09,5801
2024-09-10,8047
2024-09-11,7599
2024-09-12,3458
2024-09-13,296
2024-09-14,4388
2024-09-15,6199
2024-09-16,2755
2024-09-17,666
2024-09-18,8968
2024-09-19,4933
2024-09-20,5830
2024-09-21,6261
2024-09-22,2500
2024-09-23,7711
2024-09-24,7239
2024-09-25,9599
2024-09-26,3695
2024-09-27,9362
2024-09-28,4524
2024-09-29,1356
2024-09-30,8681
2024-10-01,8739
2024-10-02,9630
2024-10-03,9130
2024-10-04,4628
2024-10-05,1638
2024-10-06,5775
2024-10-07,3892
2024-10-08,4510
2024-10-09,5502
2024-10-10,9606
2024-10-11,5751
2024-10-12,8229
2024-10-13,2883
2024-10-14,3535
2024-10-15,1227
2024-10-16,9397
2024-10-17,3587
2024-10-18,4741
2024-10-19,4436
2024-10-20,1759
2024-10-21,3307
2024-10-22,9586
2024-10-23,7770
2024-10-24,7911
2024-10-25,4858
2024-10-26,7833
2024-10-27,5851
2024-10-28,4432
2024-10-29,1968
2024-10-30,6043
2024-10-31,8730
2024-11-01,6137
2024-11-02,8415
2024-11-03,3677
2024-11-04,4562
2024-11-05,8693
2024-11-06,9032
2024-11-07,1097
2024-11-08,7952
2024-11-09,5837
2024-11-10,4222
2024-11-11,5520
2024-11-12,3509
2024-11-13,3276
2024-11-14,4982
2024-11-15,2841
2024-11-16,4535
2024-11-17,8794
2024-11-18,7343
2024-11-19,2707
2024-11-20,4493
2024-11-21,2301
2024-11-22,9671
2024-11-23,1480
2024-11-24,5263
2024-11-25,9736
2024-11-26,662
2024-11-27,3957
2024-11-28,1537
2024-11-29,5012
2024-11-30,8626
2024-12-01,8570
2024-12-02,2018
2024-12-03,557
2024-12-04,3581
2024-12-05,3469
2024-12-06,7849
2024-12-07,5952
2024-12-08,9810
2024-12-09,3502
2024-12-10,8766
2024-12-11,6478
2024-12-12,3399
2024-12-13,607
2024-12-14,1818
2024-12-15,2489
2024-12-16,7979
2024-12-17,5902
2024-12-18,713
2024-12-19,8343
2024-12-20,8417
2024-12-21,6543
2024-12-22,5206
2024-12-23,1350
2024-12-24,8451
2024-12-25,2557
2024-12-26,1284
2024-12-27,3759
2024-12-28,1800
2024-12-29,5619
2024-12-30,2716
2024-12-31,7373
2025-01-01,2052
2025-01-02,442
2025-01-03,5778
2025-01-04,1789
2025-01-05,6694
2025-01-06,3437
2025-01-07,5352
2025-01-08,6468
2025-01-09,5164
2025-01-10,5787
2025-01-11,5668
2025-01-12,6506
2025-01-13,5449
